公司名称,其他非流动资产,年份,table_dir,pdf_path,html_path
北京科拓恒通生物技术股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-23__北京科拓恒通生物技术股份有限公司__300858__科拓生物__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-23__北京科拓恒通生物技术股份有限公司__300858__科拓生物__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-23__北京科拓恒通生物技术股份有限公司__300858__科拓生物__2020年__年度报告.html
浙江新光药业股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-19__浙江新光药业股份有限公司__300519__新光药业__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-19__浙江新光药业股份有限公司__300519__新光药业__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-19__浙江新光药业股份有限公司__300519__新光药业__2021年__年度报告.html
云南煤业能源股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-31__云南煤业能源股份有限公司__600792__云煤能源__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-31__云南煤业能源股份有限公司__600792__云煤能源__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-31__云南煤业能源股份有限公司__600792__云煤能源__2019年__年度报告.html
武汉农尚环境股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-10__武汉农尚环境股份有限公司__300536__农尚环境__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-10__武汉农尚环境股份有限公司__300536__农尚环境__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-10__武汉农尚环境股份有限公司__300536__农尚环境__2019年__年度报告.html
深圳市理邦精密仪器股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-24__深圳市理邦精密仪器股份有限公司__300206__理邦仪器__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-24__深圳市理邦精密仪器股份有限公司__300206__理邦仪器__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-24__深圳市理邦精密仪器股份有限公司__300206__理邦仪器__2021年__年度报告.html
无锡蠡湖增压技术股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-22__无锡蠡湖增压技术股份有限公司__300694__蠡湖股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-22__无锡蠡湖增压技术股份有限公司__300694__蠡湖股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-22__无锡蠡湖增压技术股份有限公司__300694__蠡湖股份__2019年__年度报告.html
北矿科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-30__北矿科技股份有限公司__600980__北矿科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-30__北矿科技股份有限公司__600980__北矿科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-30__北矿科技股份有限公司__600980__北矿科技__2020年__年度报告.html
圣湘生物科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-30__圣湘生物科技股份有限公司__688289__圣湘生物__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-30__圣湘生物科技股份有限公司__688289__圣湘生物__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-30__圣湘生物科技股份有限公司__688289__圣湘生物__2020年__年度报告.html
第一拖拉机股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-24__第一拖拉机股份有限公司__601038__一拖股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-24__第一拖拉机股份有限公司__601038__一拖股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-24__第一拖拉机股份有限公司__601038__一拖股份__2019年__年度报告.html
新疆熙菱信息技术股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-10__新疆熙菱信息技术股份有限公司__300588__熙菱信息__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-10__新疆熙菱信息技术股份有限公司__300588__熙菱信息__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-10__新疆熙菱信息技术股份有限公司__300588__熙菱信息__2019年__年度报告.html
